WRN 2026-02-21T16:15:12.867 ui.81848   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:15:12.867 ui.81848   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:15:12.868 ui.81848   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:15:12.868 ui.81848   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:15:12.868 ui.81848   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-21T16:16:04.585 ui.82199   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:16:04.586 ui.82199   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:16:04.586 ui.82199   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:16:04.586 ui.82199   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:16:04.586 ui.82199   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-21T16:18:08.107 ui.83156   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:18:08.107 ui.83156   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:18:08.108 ui.83156   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:18:08.108 ui.83156   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:18:08.108 ui.83156   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-21T16:21:42.489 ui.84034   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:21:42.489 ui.84034   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:21:42.489 ui.84034   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:21:42.489 ui.84034   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:21:42.489 ui.84034   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-21T16:43:01.099 ui.86514   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:43:01.099 ui.86514   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:43:01.099 ui.86514   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:43:01.099 ui.86514   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:43:01.099 ui.86514   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-21T16:45:58.784 ui.87028   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:45:58.785 ui.87028   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:45:58.785 ui.87028   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:45:58.785 ui.87028   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:45:58.785 ui.87028   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-21T16:46:57.634 ui.87440   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-21T16:46:57.634 ui.87440   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-21T16:46:57.635 ui.87440   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-21T16:46:57.635 ui.87440   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-21T16:46:57.635 ui.87440   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T21:35:45.041 ui.24912   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T21:35:45.041 ui.24912   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T21:35:45.041 ui.24912   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T21:35:45.041 ui.24912   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T21:35:45.041 ui.24912   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:07:08.493 ui.26099   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:07:08.493 ui.26099   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:07:08.493 ui.26099   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:07:08.493 ui.26099   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:07:08.494 ui.26099   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:07:29.705 ui.26363   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:07:29.705 ui.26363   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:07:29.706 ui.26363   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:07:29.706 ui.26363   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:07:29.706 ui.26363   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:08:41.312 ui.26731   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:08:41.312 ui.26731   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:08:41.313 ui.26731   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:08:41.313 ui.26731   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:08:41.313 ui.26731   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:10:42.081 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:10:42.081 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:10:42.082 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:10:42.082 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:10:42.082 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:14:23.229 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:14:23.229 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:14:23.230 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
